Argument,Debate,Scheme
"Statistics regarding the number of abortions due to endangerment of mother's life back this up. Florida, 2015: 0.065%. UK,1968-2011: 0.006%. U.S. estimate: 1%. (links)",Pro-Life vs Pro-Choice: Should abortion be legal?,4
"The number of times something happens doesn't always make it less important. If you, or someone else you care about, were in that 1%, you would likely want them to be able to access to abortion.",Pro-Life vs Pro-Choice: Should abortion be legal?,0
"Even if in these cases abortion has a chance of saving the woman's life, abortion is always guaranteed to kill the fetus. We should not kill one person just to try to save another.",Pro-Life vs Pro-Choice: Should abortion be legal?,1
"In situations where pregnancy endangers a mother, the fetus is also likely in jeopardy. There for it is not as simple as exchanging one life for another, but rather opting to save one person versus allowing two to die.",Pro-Life vs Pro-Choice: Should abortion be legal?,3
"In most of the cases where pregnancy endangers a mother, there is a reasonable non-abortion option that could preserve the life of both mother and child.",Pro-Life vs Pro-Choice: Should abortion be legal?,6
"If childbirth poses a threat to the woman, the baby can be delivered via C-section.",Pro-Life vs Pro-Choice: Should abortion be legal?,6
"There are a large number of financial requirements of being pregnant and having a child, even if you plan to give it up for adoption. These costs may mean adoption is not a viable alternative for many women.",Pro-Life vs Pro-Choice: Should abortion be legal?,3
Government services should be available to intended adoptees to support them in this. The lack of this service is not grounds for termination.,Pro-Life vs Pro-Choice: Should abortion be legal?,6
"It is possible for women to research contraception and the likelihood of pregnancy before they have sex, such that they are aware of the risks.",Pro-Life vs Pro-Choice: Should abortion be legal?,3
No form of contraception is 100% effective.,Pro-Life vs Pro-Choice: Should abortion be legal?,3
Planned Parenthood states that the pill is only about 91% effective because it is difficult to maintain perfect use.,Pro-Life vs Pro-Choice: Should abortion be legal?,4
Contraceptives advertise that they are not 100% effective. Even though these devices or drugs decrease the likelihood of pregnancy they don't negate the responsibility for the risk of the action chosen.,Pro-Life vs Pro-Choice: Should abortion be legal?,4
Abstinence is always effective.,Pro-Life vs Pro-Choice: Should abortion be legal?,6
An abstinent woman can still be raped and become pregnant.,Pro-Life vs Pro-Choice: Should abortion be legal?,3
The primary role of sexual relations is reproduction. This is true in all species that reproduce by mating. The pleasure and bonding effect of a sexual relation is subservient to its purpose as a reproduction mechanism.,Pro-Life vs Pro-Choice: Should abortion be legal?,1
It is unreasonable to expect people to remain abstinent forever. There are people who may want to have sex lives but do not ever want to have children. For them there is no fail proof form of contraception.,Pro-Life vs Pro-Choice: Should abortion be legal?,0
Male vasectomies are both reversible and do not stop your body from producing sperm. It is one of the most highly-effective birth control measures while still maintaining the possibility of having children in the future.,Pro-Life vs Pro-Choice: Should abortion be legal?,6
"According to WHO, only 43% of women of reproductive age in less developed countries use modern contraceptive methods, and a wide gap in use is seen between the highest and lowest wealth quintiles (52% versus 35%, respectively).",Pro-Life vs Pro-Choice: Should abortion be legal?,4
"Contraception is not cheap or widely available in many developing countries around the world, even in some parts of the US and Europe.",Pro-Life vs Pro-Choice: Should abortion be legal?,4
"A small pack of condoms will cost you around 5€. Less developed countries may find contraception somewhat more expensive, however abortion procedures in those parts of the world are far more dangerous and costly, so prevention
 and abstinence are still the better options. To increase effectiveness and safety, one should compliment usage of contraception with proper sexual responsibility.",Pro-Life vs Pro-Choice: Should abortion be legal?,6
A lack of sex education in many conservative regions means that couples are often ill equipped to properly use contraceptives such as condoms.,Pro-Life vs Pro-Choice: Should abortion be legal?,3
"The solution for ignorance is to improve sex education, not implement a policy of allowing abortion.",Pro-Life vs Pro-Choice: Should abortion be legal?,6
People tend to not seek information when they are unaware that the information exists or is important.,Pro-Life vs Pro-Choice: Should abortion be legal?,3
Religious women are often taught that use of contraception is deeply immoral.,Pro-Life vs Pro-Choice: Should abortion be legal?,0
By this logic people are consenting to the risk of dying every time they cross the street. People aren't consenting to consequences.,Pro-Life vs Pro-Choice: Should abortion be legal?,7
Abortion has harmful mental and physical consequences for the woman involved.,Pro-Life vs Pro-Choice: Should abortion be legal?,5
Abortion increases the risk of placenta previa in later pregnancies (a life threatening condition for both the mother and her wanted pregnancy) by seven to fifteen fold.,Pro-Life vs Pro-Choice: Should abortion be legal?,0
Studies have shown that abortion has adverse psychological impacts on women.,Pro-Life vs Pro-Choice: Should abortion be legal?,4
"Humans can collaborate, meet, and communicate with unparalleled efficiency.",Has social media been good for humanity?,2
It is easy to maintain non day-to-day relationships.,Has social media been good for humanity?,2
"Social media algorithms designed to enhance the user's experience have inadvertently created deeply personalized Filter Bubbles. 
Information dissemination is calculated by user desire rather than objective necessity.",Has social media been good for humanity?,3
Confirmation bias is a major issue in today's society as it is pushed by the business models of Social media platforms.,Has social media been good for humanity?,5
The same systems that create echo chambers can be (ab)used to intentionally enter other peoples echo chambers. TED talk,Has social media been good for humanity?,4
Social media has negative health effects.,Has social media been good for humanity?,5
Exposure to online harassment - stressor to contend with for some resulting in some youths committing suicide (remember Ask.fm?),Has social media been good for humanity?,0
"Creates a reward system and withdrawals if you don't post on it or keep checking the platform for likes or new friends. People experience addictive effects when they are disconnected even for a few hours. Study: Social media addiction: Its impact, mediation, and intervention",Has social media been good for humanity?,4
Social media use during driving or walking across the road or operating dangerous equipment shows increase in injuries and deaths.,Has social media been good for humanity?,0
People have been shown to experience depression as a repercussion of social media.,Has social media been good for humanity?,3
"Instagram has been linked to teenagers' issues with mental health, exacerbating problems such as body image and FOMO.",Has social media been good for humanity?,0
Not necessarily. By joining groups related to sports you can actually be more active when sharing results.,Has social media been good for humanity?,0
"FOMO (Fear Of Missing Out) - stressor to contend with for some when they use social media. ""Everyone else is doing it and I'm not"" fear.",Has social media been good for humanity?,5
Social media can be beneficial when being a leisure-time activity.,Has social media been good for humanity?,0
"Social media, as a leisure-time activity displaces more healthy, social and productive activities like reading, spending time with friend and sport.",Has social media been good for humanity?,5
Many platforms e.g. facebook use a security opt-in model with new users being oblivious to the fact that a lot of personal information is publically exposed.,Has social media been good for humanity?,0
Users make the decision to put information out in such an insecure environment and should bear responsibility for the consequences of that decision.,Has social media been good for humanity?,3
"Risk is inherent in innovation. Driving a car puts you at risk of crashing. Using a credit card puts you at risk of having your identity stolen. As companies become better at reducing disaster, the efficiency, productivity, and quality of life gains are worth the risk of accidents.",Has social media been good for humanity?,7
Social media can be educational and informative.,Has social media been good for humanity?,2
Social media is a great way for families separated by distance to keep informed of the well being or otherwise of members of the family,Has social media been good for humanity?,2
Social media makes it easier for people to access information and news.,Has social media been good for humanity?,2
"Social media has potential as a collective learning experience. It is, in a sense, a giant classroom where people can learn from one another at their own pace and without the pressure of being graded.
",Has social media been good for humanity?,3
"Humans spend too long on social media, at the expense of other more valuable activities.",Has social media been good for humanity?,5
It’s a valuable aid for crime-solving.,Has social media been good for humanity?,2
"In states like Oregon, authorities have arrested people for drinking and driving after they bragged about it publicly on Facebook.",Has social media been good for humanity?,0
Social media allows for better discourse to take place.,Has social media been good for humanity?,2
You can discover new perspectives from people you ordinarily wouldn't talk with.,Has social media been good for humanity?,0
"Social media commentary systems have been designed for popularity, resulting in everybody writing in a more pointed, provocative way.
 This has harmed online discourse and increased polarization.",Has social media been good for humanity?,3
Social media distorts reality.,Has social media been good for humanity?,5
Social Media acts as a filter of what you let others see of your life. It perpetuates the illusion that everyone leads happy and succesful lives.,Has social media been good for humanity?,3
"If people do not take responsibility to do their own research independently of social media, social media can become an issue, but it is not a problem on its own.",Has social media been good for humanity?,6
"Social media can be manipulated and unreasonable positions can be made seem more popular, more broadly supported and legitimate than they really are.",Has social media been good for humanity?,5
"Social media is a vital tool for grassroots political organizing. (protest, advocacy groups, etc). This is beneficial to democracy.",Has social media been good for humanity?,2
Social media is a tool for radicalization.,Has social media been good for humanity?,5
"Individuals should have the autonomy to make their own decisions, as genetic engineering can bring them significant benefits.",Is cloning humans ethical?,2
The right to reproductive freedom already includes assisted reproductive technologies such as in-vitro fertilization. Cloning humans could be seen as another assisted reproductive technology.,Is cloning humans ethical?,7
"Vitro gametogenesis (IVG) is a new technology that could revolutionize reproductive medicine. If IVG is ethical, reproductive cloning should also be ethical.",Is cloning humans ethical?,7
Not all means of reproduction are legal. Surrogacy as a means of reproduction is illegal in many countries.,Is cloning humans ethical?,0
"Any use of cloning beyond family-planning purposes would most likely be cruel towards the clones. As nobody would have an emotional stake in the clone's life, nobody would defend their interests. 
The clones would, therefore, be taken advantage of or discriminated against.",Is cloning humans ethical?,5
"It is presumable that the person who has been cloned would have an emotional stake in the life of the clone, as they share the same DNA. Humans are predisposed to care for people who share their genes.",Is cloning humans ethical?,4
Human cloning is not safe. It may have unintended harmful consequences.,Is cloning humans ethical?,5
Genetic defects have been observed in otherwise healthy cloned animals.,Is cloning humans ethical?,0
Genetic defects have also been observed often enough in naturally reproduced animals.,Is cloning humans ethical?,0
Human cloning can be used to prevent harm by protecting newborns from genetic diseases.,Is cloning humans ethical?,6
"Cloning techniques, together with genetic engineering, could be used to cure hereditary diseases.",Is cloning humans ethical?,2
A potentially fatal blood disorder can be cured by fixing diseased genes in human embryos.,Is cloning humans ethical?,0
"People born with genetic disorders can still live rich and fulfilling lives, with their disorder becoming a part of their unique identity as a human being.",Is cloning humans ethical?,1
"Safety is important, but it's not relevant to the fundamental question of whether or not cloning is ethical.",Is cloning humans ethical?,1
Human cloning cannot be looked at in abstraction from the process of developing it because the former is contingent on the latter.,Is cloning humans ethical?,3
"In it's history and development, medicine used a lot of unorthodox practices to develop and gain higher understanding, practices such as using organs from animals to experiment and a lot of failed
 experiments on humans. The result was modern medicine which saves millions of lives annually. We now look at medicine in abstraction of all that.",Is cloning humans ethical?,0
"By cloning humans, we can improve the genetic quality of humankind.",Is cloning humans ethical?,2
Cloning humans opens up the possibility of producing replacement body parts from adult cells. This could increase the success rate of many treatments. (p.743),Is cloning humans ethical?,2
"It is dangerous for society to embrace the idea of a ""perfect human being"". This idea led to the advocacy of eugenics in Nazi Germany, as the perfect human was thought to be of Aryan race.",Is cloning humans ethical?,0
"Given the variety of modifications individuals could choose, cloning may lead to wider acceptance of individuals with greater differences.",Is cloning humans ethical?,2
"As with all things, it is likely that certain modifications will be more popular than others, which will create imbalances between individuals.",Is cloning humans ethical?,3
"Racism has been and continues to be justified through racist pseudo-science that claims that non-White people have lower IQs, limited capacities for reason, or smaller skulls than White people.",Is cloning humans ethical?,7
It is not the place for human beings to meddle with nature and evolution.,Is cloning humans ethical?,1
"By using therapeutic cloning, the life expectancy of the population could be drastically extended. This could have terrible consequences on climate change.",Is cloning humans ethical?,5
There are many multi-faith ethical limitations to research on human cloning.,Is cloning humans ethical?,1
"The Catholic Church is strongly against any form of human cloning, as they see cloning contrary to human dignity.",Is cloning humans ethical?,4
The Catholic Church has always had a turbulent history with scientific progress. This does not mean that advancements in science should stop for the church's sake.,Is cloning humans ethical?,0
Sometimes human intervention in nature and evolution is necessary and has very positive outcomes.,Is cloning humans ethical?,2
Science is being used to regenerate coral reefs that are dying because of climate change. These corals are extremely valuable for life on Earth.,Is cloning humans ethical?,2
The regeneration of coral reefs is only necessary because humans interfered with nature in the first place.,Is cloning humans ethical?,3
"An artificial general intelligence (AGI) should be created, because it could help to remedy problems of humanity.",Should an artificial general intelligence be created?,2
AGI should be created and studied for the sake of developing science.,Should an artificial general intelligence be created?,2
"The process of creating an AI would teach us many things about consciousness, computer science, and many other fields.",Should an artificial general intelligence be created?,2
The development of AGI could create an economic boom that could lead into a golden age for humanity.,Should an artificial general intelligence be created?,2
AGI will be the best tool we could possibly make.,Should an artificial general intelligence be created?,2
It would be exciting and in being so would enrich our lives.,Should an artificial general intelligence be created?,2
Creation of AGI has the potential of enabling an astronomical number of non-biological beings which would otherwise not exist.,Should an artificial general intelligence be created?,2
Bigger amount of rational thinking beings is not necessarily good.,Should an artificial general intelligence be created?,2
Future Humans and other sentient beings may suffer so much that it would be better if they did not come into existence.,Should an artificial general intelligence be created?,5
Transhumanism is the next step in evolution of wealthy humans. Poor humans will unlikely benefit from it.,Should an artificial general intelligence be created?,4
"The capacity for AGIs to colonize both in and out the solar system far exceeds that of humans. 
Any other impact which humans may have could be astronomically dwarfed by the prospect of populous future lives descending from AGIs.",Should an artificial general intelligence be created?,2
The consequences of developing AGI are unpredictable.,Should an artificial general intelligence be created?,5
"The AGI Safety problem is mathematically identical to that of the Halting Problem  in computer science. 
It is fundamentally impossible to discern the outcome, intentions and wisdom of creating an AGI ahead of doing so. ",Should an artificial general intelligence be created?,7
"We routinely make decisions despite uncertainty, and even granting the claim of unpredictability doesn't imply we should not pursue a risky alternative 
- especially if the alternative is human self-destruction.",Should an artificial general intelligence be created?,7
AGI's creation raises serious ethical and philosophical concerns we are not currently prepared to deal with.,Should an artificial general intelligence be created?,5
Αn agent that is behaviorally indistinguishable from humans should also be morally indistinguishable from humans.,Should an artificial general intelligence be created?,7
"We cannot and should not suppress progress due to the fear of ""power to influence politics or economy"".",Should an artificial general intelligence be created?,1
"Open Source AGI avoids this problem. For example, OpenAI is a non-profit research company that receives funding for this exact purpose.
 Instead of holding back AGI we should fund initiatives like this.",Should an artificial general intelligence be created?,6
There are better ways to achieve the same goal we would need AGI for.,Should an artificial general intelligence be created?,6
"History tells us that to improve our tools, we need to refine and specialize them, not make them more general. 
Why waste power and processing making a stock market optimizing machine able to appreciate Bach or cynically resent its makers?",Should an artificial general intelligence be created?,5
"The most significant development in tools of the last 50 years is the computer. This is an incredibly generalised tool which is now a vital component of just about every aspect of global civilisation,
 including our culture, the economy and the sciences.",Should an artificial general intelligence be created?,7
Being surrounded by AGI could negatively impact mental health and well-being.,Should an artificial general intelligence be created?,5
"If the group [21] had a quantum computer and no AI they could also crack all modern encryption, the AI has little to do with it.",Should an artificial general intelligence be created?,6
"There are existing areas where we place limits on technological progress for ethical reasons - eugenics and nuclear weapons research, for example.",Should an artificial general intelligence be created?,0
Creating something in a controlled environment limits the potential for misuse.,Should an artificial general intelligence be created?,3
"AI is a natural part of the development of informatics and computing science. It cannot be avoided. One thing we must avoid is the controlling of AI by politicians and large corporations. 
Politics and capitalism are the problem not AI itself.",Should an artificial general intelligence be created?,4
Creating AGI would make creation of sentience more probable.,Should an artificial general intelligence be created?,2
"Humankind is earth's apex species by virtue of its superior thinking powers. Creating an entity able to accomplish intellectual feats humankind can't, and able to improve itself,
 is essentially to replace ourselves as the apex species on earth.",Should an artificial general intelligence be created?,5
Being exciting doesn't necessarily mean it's good. It is also subjective - for some killing is exciting.,Should an artificial general intelligence be created?,7
AGI could be a good therapeutic tool.,Should an artificial general intelligence be created?,2
AGI can be a good listener and someone to have a conversation with for depressed or traumatized people.,Should an artificial general intelligence be created?,2
"You don't need AGI to effectively pass the Turing test and appear to have consciousness when listening or conversing with those in need. Social AI can be narrowly focused,
 and as such won't bring any of the potential baggage of true AGI.",Should an artificial general intelligence be created?,6
Acting out of empathy to help others is in human nature.,Do we have a moral duty to intervene in nature to limit animal suffering?,1
With the duty to rescue there is a legal precedent that could be applied to the human responsibility to act to rescue animals.,Do we have a moral duty to intervene in nature to limit animal suffering?,7
There is no such thing as unnecessary suffering in nature.,Do we have a moral duty to intervene in nature to limit animal suffering?,1
Saving a prey from being eaten induces suffering from hunger for its predator.,Do we have a moral duty to intervene in nature to limit animal suffering?,5
Basic animal rights stand against and outweigh the moral benefit of limiting suffering of sentient beings.,Do we have a moral duty to intervene in nature to limit animal suffering?,6
The technology to implement such changes beyond the small scale can only be obtained by carrying out immoral research.,Do we have a moral duty to intervene in nature to limit animal suffering?,5
Sustainably reducing suffering in ecosystems will require dangerous and immoral experiments to study the effects of different interventions. This will in itself cause suffering and other moral harm. The end does not justify all means.,Do we have a moral duty to intervene in nature to limit animal suffering?,3
"There are ""low-hanging fruits"" that don't require research and can be enacted immediately. For example in Sika deer, overpopulation can lead to mal-development and eventual mass die-off caused by social stress (cf. this paper).
 A lot of animal suffering could be avoided by euthanising an adequate number of Sika deer whenever overpopulation becomes apparent.",Do we have a moral duty to intervene in nature to limit animal suffering?,0
Genetic editing is happening usually with the intention of being beneficial for humankind.,Do we have a moral duty to intervene in nature to limit animal suffering?,2
Selective breeding and hybridization has long been done for the benefit of humans.,Do we have a moral duty to intervene in nature to limit animal suffering?,2
"The victims of selective breeding and hybridization suffer, as a result of these practices, from genetic disorders and shortened lifespans.",Do we have a moral duty to intervene in nature to limit animal suffering?,5
This may destabilize the ecosystem.,Do we have a moral duty to intervene in nature to limit animal suffering?,5
"In Estonia, rabid foxes started ending up in people's backyards and so a general vaccination program was launched. Rabies killed most of the fox population and by removing it, we only managed to disrupt a working
 ecosystem and even made the initial problem worse. (p. 597)",Do we have a moral duty to intervene in nature to limit animal suffering?,0
"Humans are not capable of fairly and consistently applying such morals, which would make the attempt at it corrupt and immoral.",Do we have a moral duty to intervene in nature to limit animal suffering?,3
"We coexist regardless of our actions, so all we can do is control the impact we have and how we focus them.",Do we have a moral duty to intervene in nature to limit animal suffering?,3
Nature is more efficient when dealing with problems on its own.,Do we have a moral duty to intervene in nature to limit animal suffering?,6
Humans don't have the capacity to manage nature to the macro- and micro-levels regions (like forests) need as well as nature can.,Do we have a moral duty to intervene in nature to limit animal suffering?,6
"Wild animals lose fear and become imprinted with humans, so humans carry responsibility for the animals they made used to humans.",Do we have a moral duty to intervene in nature to limit animal suffering?,0
Nature cannot effectively be left alone because humans have destabilised it so much already.,Do we have a moral duty to intervene in nature to limit animal suffering?,3
Certain interventions can be helpful and not impact negatively on ecosystems (e.g. fixing a lion's wound in a safari).,Do we have a moral duty to intervene in nature to limit animal suffering?,0
Nature is the survival of the fittest.,Do we have a moral duty to intervene in nature to limit animal suffering?,1
Animal suffering shouldn't be analysed from the point of view of human morality.,Do we have a moral duty to intervene in nature to limit animal suffering?,1
"Fairness is not and has never been a natural state. It is an entirely human construct, and forcing our ideas onto the rest of the planet is deeply unethical.",Do we have a moral duty to intervene in nature to limit animal suffering?,1
Natural doesn't mean good. Morality historically goes against nature and intuition.,Do we have a moral duty to intervene in nature to limit animal suffering?,0
"Humanity is already forcing its view onto/against nature and/or other living creatures (eg. artificial selection, breeding, curing disease and more broadly all our activities have an impact on the planet).",Do we have a moral duty to intervene in nature to limit animal suffering?,0
"""Forcing"" our ideas onto the rest of the planet isn't more unethical than doing nothing while we are aware of the suffering of sentient beings and we could find solutions to fix that.",Do we have a moral duty to intervene in nature to limit animal suffering?,6
Plenty of porn is made in an ethical and safe way. It is perfectly possible to make choices about what porn you watch so that it is ethical.,Is it ethically wrong to watch pornography?,1
"So long as the participants are well informed of the repercussions and happy with the arrangements/compensation, it is good.",Is it ethically wrong to watch pornography?,1
We should base our morality on informed consent.,Is it ethically wrong to watch pornography?,1
"This heavily depends on the way of defining good and wrong, if the actions of the participants have bad consequences then it could be seen as wrong, 
even if they're well informed of the repercussions and happy with the arrangements.",Is it ethically wrong to watch pornography?,1
"Given the cost-benefit analysis of sexual gratification versus the hardship experienced by victims of non-consensual uploads, it is clearly not worth the risk.",Is it ethically wrong to watch pornography?,5
"Pornhub requires users who upload content to undergo verification, reducing the prospect of non-consensual uploads.",Is it ethically wrong to watch pornography?,3
"The same is true of eating halal meat; we cannot know it is halal, but there comes a point when one has to trust that something is what it purports to be.",Is it ethically wrong to watch pornography?,7
If there was ethical certifications one could easily choose what type of porn industry they would want to contribute to.,Is it ethically wrong to watch pornography?,3
"Ethical porn focuses on treating performers fairly, showing a diverse range of bodies and representing more realistic human interactions.",Is it ethically wrong to watch pornography?,0
Having pornography that is more representing of real human sexual interactions could constitute a great source of sex education.,Is it ethically wrong to watch pornography?,2
"Treating performers fairly is the only requirement for ethical porn. Porn is a fantasy, it doesn't have to accurately reflect reality.",Is it ethically wrong to watch pornography?,1
"It may be something more elemental in the structure of the media which engenders and cultivates a subliminally misogynistic or reductive or otherwise violent way of seeing, particularly of men seeing women.",Is it ethically wrong to watch pornography?,5
"To say pornography is misogynistic is exaggerated since not all porn involves opportunities where women can get mistreated, as is the example with gay male porn.",Is it ethically wrong to watch pornography?,0
"From a consequentialist point of view, supporting this kind of media will cause that more of this will be produced and shared in culture. Helping to spread media that cause 
people to be violent or mysogynistic is morally wrong.",Is it ethically wrong to watch pornography?,3
"Depicting unethical acts is not necessarily unethical, otherwise movie murders would make such movies unethical and documentaries of real executions would also be unethical.",Is it ethically wrong to watch pornography?,7
"Any porn watched furthers the demand, giving more power to those who traffic people and force them into this kind of work.",Is it ethically wrong to watch pornography?,5
By the same reasoning we should ban entire industries because of the misdeeds of a few.,Is it ethically wrong to watch pornography?,7
"Watching pornography contributes to human rights abuses, including gender inequality.",Is it ethically wrong to watch pornography?,1
"Feminist pornography seeks to use pornography to empower women, so porn isn't inherently misogynistic.",Is it ethically wrong to watch pornography?,0
"Porn is made to promote arousal, entertainment and even escapism. As long as the one watching is mature enough to know what happens on screen may differ from reality, there is nothing morally wrong with it.",Is it ethically wrong to watch pornography?,2
Personal psychological detrimental effects do not nearly exhaust the potential suffering which is caused by the production and dissemination of pornography. Actresses and actors are affected by the industry.,Is it ethically wrong to watch pornography?,1
Watching porn can be harmful for the individual.,Is it ethically wrong to watch pornography?,5
People can become addicted to pornography which is problematic.,Is it ethically wrong to watch pornography?,5
Pornography addiction shows similar side effects to alcohol and drug addiction.,Is it ethically wrong to watch pornography?,7
"
There have been numerous studies about behavioural addiction with pornography (Pornography Addiction: A Neuroscience Perspective, Neuroscience of Internet Pornography Addiction: A Review and Update)",Is it ethically wrong to watch pornography?,4
"Porn can often be the closest thing to physical contact/stimulation for long-term single individuals, and can offer an alternative to other, more unethical methods of satisfying natural sexual urges (i.e. prostitution).",Is it ethically wrong to watch pornography?,6
Porn is damaging to relationships.,Is it ethically wrong to watch pornography?,5
A utilitarian would argue that time and resources dedicated to porn could be better applied in maximizing well-being.,Is it ethically wrong to watch pornography?,6
"Masturbation is natural and beneficial, and porn is a useful masturbation aid.",Is it ethically wrong to watch pornography?,2
Porn gives access to fetishes and habits that would not be accessible otherwise and allows people to explore in a safe way.,Is it ethically wrong to watch pornography?,2
The survivors of Uruguayan Air Force Flight 571 stayed alive for 72 days by eating the dead and preserved bodies of their fellow passengers.,Is cannibalism ethically permissible?,0
If the to-be-cannabalized person is still alive and not giving consent this isn't permissable.,Is cannibalism ethically permissible?,0
"If the to-be-cannibalised person is still alive and not consenting this is murder which is largely already agreed to be unethical and illegal. 
However the ethicacy of the act itself changes if the person consents or is already dead. In one instance they are arguably make a choice 
about their body and in the other they could be said to be a resource, just meat.",Is cannibalism ethically permissible?,1
"Eating another human being after they are dead in order to save ones own life, provided it is absolutely necessary and the last resort, 
is ethically no different than accepting an organ transplant from a dead person. It achieves the same result.",Is cannibalism ethically permissible?,7
"Any benefit derived from eating human flesh (outside survival) is extremely small compared to the value of that human life. 
Therefore, even if cannibalism only very slightly devalues human life, it is still unethical.",Is cannibalism ethically permissible?,1
Cannibalism permits humans to view other humans as prey. It is ethically wrong to view other persons as such.,Is cannibalism ethically permissible?,1
"Cannibalism is a violation of the dignity possessed by mankind, which is degraded by using human flesh as food.",Is cannibalism ethically permissible?,1
We have relationships and a closeness with others of our own species that cannibalism debases.,Is cannibalism ethically permissible?,1
If the person in question wants to be eaten after death then not doing so would be disrespecting that person's last wish.,Is cannibalism ethically permissible?,1
"Respecting someone in death respects that they once were a human life, which still merits dignity.",Is cannibalism ethically permissible?,1
"It is unclear why it is more ethically wrong to view humans as prey instead of other organisms. Moral philosophers such as Peter Singer 
have argued that any causing of suffering is wrong, regardless of the species of the victim.",Is cannibalism ethically permissible?,4
"Legal or ethical status for cannibalism may allow for easier concealment of a crime, as a victim's remains may be swapped or 
added to otherwise common food.",Is cannibalism ethically permissible?,5
Humans have evolved past needing to eat each other.,Is cannibalism ethically permissible?,1
"For example, most humans in Europe have evolved past needing to wash their clothes manually, but that doesn't make it ethically wrong.",Is cannibalism ethically permissible?,0
Cannibalism is still considered acceptable practice for some tribes.,Is cannibalism ethically permissible?,0
"The Korowai believe the people they eat are not humans, but male witches called khakhua. They do not consider the practice cannibalism.",Is cannibalism ethically permissible?,0
"Some humans in non-developed areas rely on food in nature to survive, including meat from local animals.",Is cannibalism ethically permissible?,0
"""Meat donors"" could be treated similar to organ donors and checked for any health hazards beforehand.",Is cannibalism ethically permissible?,7
"Whether it is healthy or not doesn't affect the ethics of it. It only affects the health of the individual who eats that meat, but doesn't affect
 the others in the society.",Is cannibalism ethically permissible?,3
"If enough people's health is adversely affected, this might have a negative effect on society at large.",Is cannibalism ethically permissible?,5
Just because something is done doesn't mean it should be.,Is cannibalism ethically permissible?,1
All meat is not the same in form or value.,Is cannibalism ethically permissible?,1
No society can prosper if ethics are subjective. Subjectivism has serious philosophical fallacies.,Is cannibalism ethically permissible?,3
"As the human population increases, dealing with an increasing number of dead bodies is taking a toll on the environment.
 Recycling bodies might be an ethical alternative.",Is cannibalism ethically permissible?,2
"Globally, there is a shortage of burial spaces; in this regard, ethical cannibalism can help mitigate this crisis by reducing the
 number of bodies that need to be buried.",Is cannibalism ethically permissible?,2
"If a person consents to or asks to be eaten, it should be permissible to act on this.",Is cannibalism ethically permissible?,1
"There is also a theoretical case of self-cannibalism (eating one's own body parts). Following the idea of self-ownership of the body, 
this should be considered completely ethical (if done voluntarily).",Is cannibalism ethically permissible?,1
